Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Domain (v14),Page Path (v15),Page Height (v19),Page Percent Viewed (v20),Procore ID (v35),Procore User Type (v36),Tab Focus Count (v41),Form ID (v50),Form Inputs (v51),Form Input Count (v52),form Input Selected Count (v53),Chat Online (v55),Chat Team Available (v56),Chat Visible (v57),Chat Covnersation ID (v58),Chat Playbook ID (v59),Chat Campaign ID (v60),Form Errors (c14),Form Inputs (c15),Form Interaction Path (c16),Redirect Timing (event1),App cache Timing (event2),DNS Timing (event3),TCP Timing (event4),Request Timing (event5),Response Timing (event6),Processing Timing (event7),On Load Timing (event8),Page Load Timing (event9),Page Scrolled 10% (event10),Page Scrolled 25% (event11),Page Scrolled 50% (event12),Page Scrolled 75% (event13),Page Scrolled 95% (event14),Page Scrolled 100% (event15),Tab Click (event17),Form Start (event20),Form Complete (event21),Form Error Count (event22),Form Selected Count (event23),Sidebar Opened (event34),Sidebar Closed (event35),Playbook Clicked (event36),Playbook Dismissed (event37),Conversation Started (event38),Message Sent (event39),Message Receieved (event40),Email Captured (event41),Phone Captured (event42),Meeting Requested (event43),Meeting Booked (event44)
https://stg.procore.com/en-au/legal,procoredev,200,stg.procore.com|AU|Company|Legal|Overview,Company|Legal|Overview,stg.procore.com,Before Unload,2019-07-26T16:22:02.731-07:00,1846451664,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/legal,1478,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,271,1,1467,4,1785,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/legal/api-terms-and-conditions,procoredev,200,stg.procore.com|AU|Company|Legal|Api Terms And Conditions,Company|Legal|Api Terms And Conditions,stg.procore.com,Before Unload,2019-07-26T16:22:05.421-07:00,4967355625,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/legal/api-terms-and-conditions,22126,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,264,72,1854,4,2201,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/partners,procoredev,200,stg.procore.com|AU|Resource|Partners,Resource|Partners,stg.procore.com,Before Unload,2019-07-26T16:22:08.748-07:00,1487273362,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/partners,5759,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,429,1,2146,8,2598,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/platform,procoredev,200,stg.procore.com|AU|Product|Platform|Overview,Product|Platform|Overview,stg.procore.com,Before Unload,2019-07-26T16:22:10.914-07:00,9903243194,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/platform,4827,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,135,2,1582,5,1739,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/press,procoredev,200,stg.procore.com|AU|Company|Press|Overview,Company|Press|Overview,stg.procore.com,Before Unload,2019-07-26T16:22:12.572-07:00,9001487481,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/press,13926,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,130,79,881,7,1035,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/press/habitat-for-humanity-and-procore-partner-for-a-brush-with-kindness,procoredev,200,stg.procore.com|AU|Company|Press|Habitat For Humanity And Procore Partner For A Brush With Kindness,Company|Press|Habitat For Humanity And Procore Partner For A Brush With Kindness,stg.procore.com,Before Unload,2019-07-26T16:22:15.124-07:00,2867936165,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/press/habitat-for-humanity-and-procore-partner-for-a-brush-with-kindness,3163,100,testid-1234567890,Customer/Collaborator,,,,,,Online,Available,Visible,,,,,,,1,1,1,1,140,1,1163,8,1410,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/press/procore-acquires-bimanywhere,procoredev,200,stg.procore.com|AU|Company|Press|Procore Acquires Bimanywhere,Company|Press|Procore Acquires Bimanywhere,stg.procore.com,Before Unload,2019-07-26T16:22:17.889-07:00,5734364835,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/press/procore-acquires-bimanywhere,2791,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,2,1,1,1,282,1,1983,4,2286,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/project-management,procoredev,200,stg.procore.com|AU|Product|Project Management|Overview,Product|Project Management|Overview,stg.procore.com,Before Unload,2019-07-26T16:22:22.393-07:00,2543024674,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/project-management,4669,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,494,1,3575,4,4088,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/project-management/bidding,procoredev,200,stg.procore.com|AU|Product|Project Management|Bidding,Product|Project Management|Bidding,stg.procore.com,Before Unload,2019-07-26T16:22:24.931-07:00,3982897764,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/project-management/bidding,4702,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,152,68,1740,4,2047,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/projects,procoredev,200,stg.procore.com|AU|Resource|Projects,Resource|Projects,stg.procore.com,Before Unload,2019-07-26T16:22:27.912-07:00,5151711738,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/projects,6736,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,136,3,2269,4,2476,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/quality-safety,procoredev,200,stg.procore.com|AU|Product|Quality Safety|Overview,Product|Quality Safety|Overview,stg.procore.com,Before Unload,2019-07-26T16:22:30.714-07:00,5922246739,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/quality-safety,4733,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,127,1,2189,4,2369,1,1,1,1,1,1,,,,,,,,,,,,,,,,
https://stg.procore.com/en-au/quality-safety/daily-log,procoredev,200,stg.procore.com|AU|Product|Quality Safety|Daily Log,Product|Quality Safety|Daily Log,stg.procore.com,Before Unload,2019-07-26T16:22:32.431-07:00,9088134038,27754165577181442523013440291459009880,562536901.1564183227,stg.procore.com,/en-au/quality-safety/daily-log,4308,100,testid-1234567890,Customer/Collaborator,,,,,,,,,,,,,,,1,1,1,1,297,72,853,6,1208,1,1,1,1,1,1,,,,,,,,,,,,,,,,
