Test URL (url),Report Suite (rs),Status Code (status),Page Name (pageName),Site Section (ch),Server (server),Hit Type (v1),Timestamp (v2),Pageview ID (v3),Adobe Analytics ID (v5),Google Analytics ID (v6),Page Protocol (v13),Page Domain (v14),Page Path (v15),Page Query String (v16),Page Fragment (v17),Procore ID (v35),Procore User Type (v36),Event Type (v42),Event Name (v43),Event Label (v44),Event Count (v45),Custom Event Count (event18)
https://stg.procore.com/en-au/press/habitat-for-humanity-and-procore-partner-for-a-brush-with-kindness,procorestaging,200,stg.procore.com|AU|Company|Press|Habitat For Humanity And Procore Partner For A Brush With Kindness,Company|Press|Habitat For Humanity And Procore Partner For A Brush With Kindness,stg.procore.com,Custom Event,2019-08-05T17:35:02.289-07:00,9036604905,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/press/habitat-for-humanity-and-procore-partner-for-a-brush-with-kindness,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/press/procore-acquires-bimanywhere,procorestaging,200,stg.procore.com|AU|Company|Press|Procore Acquires Bimanywhere,Company|Press|Procore Acquires Bimanywhere,stg.procore.com,Custom Event,2019-08-05T17:35:04.507-07:00,8926571241,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/press/procore-acquires-bimanywhere,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/project-management?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|AU|Product|Project Management|Overview,Product|Project Management|Overview,stg.procore.com,Custom Event,2019-08-05T17:35:06.446-07:00,2484075866,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/project-management,?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/project-management/bidding?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|AU|Product|Project Management|Bidding,Product|Project Management|Bidding,stg.procore.com,Custom Event,2019-08-05T17:35:08.356-07:00,1146277089,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/project-management/bidding,?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,#fragment,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/projects,procorestaging,200,stg.procore.com|AU|Resource|Projects,Resource|Projects,stg.procore.com,Custom Event,2019-08-05T17:35:15.503-07:00,2189310190,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/projects,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/quality-safety,procorestaging,200,stg.procore.com|AU|Product|Quality Safety|Overview,Product|Quality Safety|Overview,stg.procore.com,Custom Event,2019-08-05T17:35:18.358-07:00,5765504297,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/quality-safety,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/quality-safety/daily-log,procorestaging,200,stg.procore.com|AU|Product|Quality Safety|Daily Log,Product|Quality Safety|Daily Log,stg.procore.com,Custom Event,2019-08-05T17:35:20.749-07:00,3777305514,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/quality-safety/daily-log,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/safety-qualified,procorestaging,200,stg.procore.com|AU|Resource|Safety Qualified,Resource|Safety Qualified,stg.procore.com,Custom Event,2019-08-05T17:35:24.236-07:00,4616265301,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/safety-qualified,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/subcontractors,procorestaging,200,stg.procore.com|AU|Solution|Subcontractors,Solution|Subcontractors,stg.procore.com,Custom Event,2019-08-05T17:35:33.651-07:00,8864520932,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/subcontractors,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/subs-demo?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|AU|Marketing|Subs Demo,Marketing|Subs Demo,stg.procore.com,Custom Event,2019-08-05T17:35:36.199-07:00,4409567182,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/subs-demo,?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/webinars,procorestaging,200,stg.procore.com|AU|Resource|Webinars|Overview,Resource|Webinars|Overview,stg.procore.com,Custom Event,2019-08-05T17:35:38.676-07:00,9346705492,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/webinars,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-au/workshops,procorestaging,200,stg.procore.com|AU|Event|Workshops,Event|Workshops,stg.procore.com,Custom Event,2019-08-05T17:35:40.591-07:00,5977792353,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-au/workshops,,#fragment,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca,procorestaging,200,stg.procore.com|CA|Home,Home,stg.procore.com,Custom Event,2019-08-05T17:36:20.633-07:00,9192016461,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca,,#fragment,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca/about?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|CA|Company|About,Company|About,stg.procore.com,Custom Event,2019-08-05T17:36:22.828-07:00,4968215283,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca/about,?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca/blueprint,procorestaging,200,stg.procore.com|CA|Resource|Blueprint,Resource|Blueprint,stg.procore.com,Custom Event,2019-08-05T17:36:30.750-07:00,7033017706,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca/blueprint,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca/buildersclub?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,procorestaging,200,stg.procore.com|CA|Resource|Builders Club,Resource|Builders Club,stg.procore.com,Custom Event,2019-08-05T17:36:33.185-07:00,1985652867,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca/buildersclub,?utm_medium=Social&utm_source=LinkedIn&utm_campaign=BRD&utm_term=Organic&utm_content=Jobsite_Constructions-up-and-coming-tech,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca/certification,procorestaging,200,stg.procore.com|CA|Resource|Certification,Resource|Certification,stg.procore.com,Custom Event,2019-08-05T17:36:35.496-07:00,8127588926,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca/certification,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca/construction-financials,procorestaging,200,stg.procore.com|CA|Product|Construction Financials|Overview,Product|Construction Financials|Overview,stg.procore.com,Custom Event,2019-08-05T17:36:37.443-07:00,5430963464,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca/construction-financials,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca/construction-financials/accounting-integrations,procorestaging,200,stg.procore.com|CA|Product|Construction Financials|Accounting Integrations,Product|Construction Financials|Accounting Integrations,stg.procore.com,Custom Event,2019-08-05T17:36:39.340-07:00,3698853671,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca/construction-financials/accounting-integrations,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca/continuing-education,procorestaging,200,stg.procore.com|CA|Resource|Continuing Education,Resource|Continuing Education,stg.procore.com,Custom Event,2019-08-05T17:36:41.280-07:00,3830018013,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca/continuing-education,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca/demo,procorestaging,200,stg.procore.com|CA|Marketing|Demo,Marketing|Demo,stg.procore.com,Custom Event,2019-08-05T17:38:30.662-07:00,1824135928,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca/demo,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca/engineering,procorestaging,200,stg.procore.com|CA|Company|Engineering,Company|Engineering,stg.procore.com,Custom Event,2019-08-05T17:38:33.273-07:00,4526253528,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca/engineering,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca/events,procorestaging,200,stg.procore.com|CA|Event|Industry Events,Event|Industry Events,stg.procore.com,Custom Event,2019-08-05T17:38:35.30-07:00,2030324733,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca/events,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca/field-productivity,procorestaging,200,stg.procore.com|CA|Product|Field Productivity|Overview,Product|Field Productivity|Overview,stg.procore.com,Custom Event,2019-08-05T17:38:42.25-07:00,7258523074,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca/field-productivity,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
https://stg.procore.com/en-ca/field-productivity/crews,procorestaging,200,stg.procore.com|CA|Product|Field Productivity|Crews,Product|Field Productivity|Crews,stg.procore.com,Custom Event,2019-08-05T17:38:43.936-07:00,1206225490,62479535618886895422240139576241655101,1905709993.1565051416,https:,stg.procore.com,/en-ca/field-productivity/crews,,,testid-1234567890,Customer/Collaborator,test type,test name,test label,+1,1
